folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,antigua_ne,cocina,cocina_dor,cuart_dorm,num_cuarto,disp_agua,dotac_agua,excusado,uso_compar,sanit_agua,biodigest,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos_inca,focos_ahor,combustible,estufa_chi,eli_basura,tenencia,renta,estim_pago,pago_viv,pago_mesp,tipo_adqui,viv_usada,tipo_finan,num_dueno1,hog_dueno1,num_dueno2,hog_dueno2,escrituras,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,medidor_luz,bomba_agua,tanque_gas,aire_acond,calefacc,tot_resid,tot_hom,tot_muj,tot_hog,ubica_geo,ageb,tam_loc,est_socio,est_dis,upm,factor
2402893503,1,8,10,3,21, ,1,2,4,7,1,1,1,2,1,2,1,1,0,1,1,0,10,3, ,1,4, ,2000, , ,1,2,1,01,1, , ,1,1,1,1,1,2,1,2,1,1,1,1,2,2,5,1,4,1,240350000,000-0,1,4,377,0060210,534
2402893504,1,8,10,3,23, ,1,2,3,5,1,1,1,2,1,2,1,1,0,1,1,8,0,4, ,1,4, ,3500, , ,1,2,1,01,1, , ,3,1,1,1,1,1,2,2,1,1,1,2,2,2,4,3,1,1,240350000,000-0,1,4,377,0060210,534
2402893505,1,8,10,3,20, ,1,2,1,4,1,2,1,2,1,2,1,0,0,1,1,0,5,3, ,1,4, ,1500, , ,1,2,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,0,1,240350000,000-0,1,4,377,0060210,534
2402897401,1,8,10,2, ,1,1,2,2,4,1,1,1,2,2,2,1,0,0,1,1,7,0,3, ,1,1,1400, , ,1, , , , , , , , ,1,1,1,1,2,2,2,2,1,2,2,2,2,6,4,2,1,240350000,000-0,1,2,375,0060220,515
2402897402,1,8,10,2, ,1,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,0,8,3, ,1,3, ,1500,2000,1,1,1,1,01,1, , ,1,1,1,1,1,2,2,2,1,1,2,2,2,2,4,2,2,1,240350000,000-0,1,2,375,0060220,515
2402897404,1,8,10,3,15, ,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,0,7,4, ,1,3, ,1500,720,1,1,1,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,2,2,2,2,4,3,1,1,240350000,000-0,1,2,375,0060220,515
2402897405,1,8,10,2,14, ,1,2,1,4,1,1,1,2,1,2,1,0,0,1,1,2,5,4, ,1,3, ,1200,1400,1,1,2,1,02,1, , ,1,1,1,1,1,2,2,2,1,1,2,2,2,2,4,1,3,1,240350000,000-0,1,2,375,0060220,515
2402897406,1,8,10,2,13, ,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,1,4,3, ,1,3, ,1200,1600,1,1,2,1,01,1, , ,3,1,1,1,1,2,1,2,1,1,2,2,2,2,4,2,2,1,240350000,000-0,1,2,375,0060220,515
2402902601,1,8,10,3,10, ,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,0,6,4, ,1,3, ,1400,2000,1,1,2,1,02,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,6,2,4,2,240350000,000-0,1,4,377,0060230,538
2402902602,1,8,10,3, ,1,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,0,9,3, ,1,1,1500, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,0,1,240350000,000-0,1,4,377,0060230,538
2402902603,1,8,10,3,11, ,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,0,5,3, ,1,3, ,1500,1800,1,1,2,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,2,2,2,2,3,1,2,1,240350000,000-0,1,4,377,0060230,538
2402902604,1,8,10,3, ,1,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,0,7,4, ,1,3, ,1500,3400,1,1,1,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,2,2,2,2,4,2,2,1,240350000,000-0,1,4,377,0060230,538
2402902605,1,8,10,3,17, ,1,2,2,4,1,1,1,2,1,2,2,0,0,1,1,0,8,3, ,1,4, ,2000, , ,1,2,1,02,1, , ,1,1,1,1,1,1,2,2,2,1,2,1,2,2,3,2,1,1,240350000,000-0,1,4,377,0060230,538
2402902606,1,8,10,3,12, ,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,0,4,3, ,1,3, ,1200,800,1,1,2,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,0,1,240350000,000-0,1,4,377,0060230,538
2402913901,1,8,10,3,25, ,1,2,3,4,1,2,1,2,1,2,1,0,0,1,1,6,1,3, ,1,2, ,2000, , , , , , , , , , ,1,1,1,2,2,2,2,1,1,2,1,2,2,6,3,3,1,240350000,000-0,1,4,377,0060240,551
2402913903,1,8,10,3,16, ,1,2,1,3,1,2,1,2,1,2,1,0,0,1,1,0,9,3, ,1,3, ,2500,2000,1,1,2,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,240350000,000-0,1,4,377,0060240,551
2402913904,1,8,10,3,10, ,1,2,2,6,1,1,1,2,1,2,1,0,0,1,1,0,10,4, ,1,1,1500, , ,1, , , , , , , , ,1,1,1,2,2,2,2,1,1,2,2,2,2,6,5,1,1,240350000,000-0,1,4,377,0060240,551
2402913905,1,8,10,3,15, ,1,2,2,5,1,1,1,2,1,2,1,0,0,1,1,0,7,3, ,1,3, ,3000,3600,1,1,2,1,02,1, , ,1,2,1,1,1,2,2,2,1,1,1,2,2,2,3,2,1,1,240350000,000-0,1,4,377,0060240,551
2402915201,1,8,10,3, ,1,1,2,1,4,1,1,1,2,1,2,0,1,0,1,1,0,4,3, ,1,2, ,1500, , , , , , , , , , ,2,1,2,1,2,2,2,2,1,2,2,2,2,1,0,1,1,240350000,000-0,1,3,376,0060250,468
2402966301,1,8,10,3,15, ,1,2,3,6,1,1,1,2,1,2,1,1,0,1,1,20,0,3, ,1,2, ,2200, , , , , , , , , , ,1,1,1,1,1,2,2,1,1,1,2,2,2,4,1,3,1,240350000,000-0,1,4,377,0060260,542
2402966302,1,8,10,3, ,1,1,2,1,5,1,1,1,2,1,2,1,0,0,1,1,1,8,3, ,1,1,2200, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,1,2,2,2,3,1,2,1,240350000,000-0,1,4,377,0060260,542
2402966303,1,8,10,3,30, ,1,2,3,6,1,1,1,2,1,2,1,1,0,1,1,1,9,3, ,1,4, ,2000, , ,1,2,1,01,1, , ,1,2,1,1,1,1,2,2,2,1,1,2,2,2,4,2,2,1,240350000,000-0,1,4,377,0060260,542
2402990701,1,8,10,3,20, ,1,2,2,5,1,1,1,2,1,2,1,0,0,1,1,0,9,3, ,1,4, ,1500, , ,4, , ,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,240350000,000-0,1,2,375,0060270,515
2402990702,1,8,10,3,25, ,1,2,1,6,1,2,1,2,1,2,2,0,0,1,1,0,8,3, ,1,4, ,2000, , ,3, ,5,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,6,4,2,1,240350000,000-0,1,2,375,0060270,515
2402990703,1,8,10,2, ,1,1,2,2,3,2,3,1,2,1,2,1,0,0,1,1,0,3,3, ,1,1,500, , ,1, , , , , , , , ,1,1,1,1,2,2,2,2,1,2,2,2,2,3,1,2,1,240350000,000-0,1,2,375,0060270,515
2402990704,1,8,10,3,6, ,1,2,3,6,1,1,1,2,1,2,1,1,0,1,1,1,6,3, ,1,4, ,3000, , ,4, , ,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,7,2,5,1,240350000,000-0,1,2,375,0060270,515
2402990706,1,8,10,3,6, ,1,2,3,6,1,1,1,2,1,2,2,1,0,1,1,0,10,3, ,1,1,3000, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,1,2,2,2,3,1,2,1,240350000,000-0,1,2,375,0060270,515
2403008802,1,8,10,3,15, ,1,2,2,4,2,2,1,2,1,2,1,0,0,1,1,0,7,3, ,1,1,1000, , ,1, , , , , , , , ,1,1,1,1,1,2,2,2,1,2,2,2,2,4,2,2,1,240350000,000-0,1,3,376,0060280,445
2403008803,1,8,10,2, ,1,1,2,2,3,1,2,1,2,1,2,2,0,0,1,1,0,5,3, ,1,3, ,3000,2000,1,1,2,1,01,1, , ,4,2,1,1,1,1,2,2,2,1,1,2,2,2,4,3,1,1,240350000,000-0,1,3,376,0060280,445
2403008804,1,8,10,3,12, ,1,2,2,4,1,2,1,2,1,2,1,0,0,1,1,1,7,3, ,1,3, ,1500,2400,1,1,2,1,01,1, , ,3,1,1,1,1,1,2,2,1,1,1,2,2,2,5,4,1,1,240350000,000-0,1,3,376,0060280,445
2403008805,1,8,10,3,13, ,1,2,2,4,1,1,1,2,1,2,1,1,0,1,1,0,6,3, ,1,3, ,2000,600,1,1,2,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,240350000,000-0,1,3,376,0060280,445
2403008806,1,8,10,3,15, ,1,2,2,4,1,1,1,2,1,1,1,0,0,1,1,1,8,3, ,1,1,1300, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,240350000,000-0,1,3,376,0060280,445
2403030001,1,8,10,2,16, ,1,2,3,4,1,1,1,2,1,2,1,0,0,1,1,2,5,3, ,1,3, ,1600,1400,1,1,2,1,01,1, , ,1,1,1,1,1,1,1,2,1,1,1,2,2,2,5,4,1,1,240350000,000-0,1,4,377,0060290,511
2403030002,1,8,10,3, ,1,1,2,2,6,1,1,1,2,1,2,1,0,0,1,1,0,11,3, ,1,3, ,2000,3800,1,1,1,2,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,3,2,1,1,240350000,000-0,1,4,377,0060290,511
2403030003,1,8,10,2,15, ,1,2,3,4,1,1,1,2,1,2,1,0,0,1,1,0,10,3, ,1,1,1500, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,1,2,2,2,5,3,2,1,240350000,000-0,1,4,377,0060290,511
2403030004,1,8,10,2, ,1,1,2,3,6,1,1,1,2,1,2,1,0,0,1,1,0,10,3, ,1,2, ,2000, , , , , , , , , , ,1,1,1,1,1,2,2,1,1,1,2,2,2,5,1,4,1,240350000,000-0,1,4,377,0060290,511
2403030006,1,8,10,2,16, ,1,2,1,4,1,1,1,2,1,2,1,0,0,1,1,0,10,3, ,1,3, ,2000,2500,1,1,2,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,0,1,1,240350000,000-0,1,4,377,0060290,511
2403036502,1,8,10,3,15, ,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,0,8,4, ,1,3, ,1500,1100,1,1,2,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,4,2,2,1,240350000,000-0,1,4,377,0060300,587
2403036503,1,8,10,2, ,1,1,2,4,5,1,1,1,2,2,2,1,0,0,1,1,0,5,3, ,1,1,2000, , ,1, , , , , , , , ,1,1,1,1,2,2,2,2,1,2,2,2,2,7,3,4,1,240350000,000-0,1,4,377,0060300,587
2403036505,1,8,10,3,10, ,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,0,5,3, ,1,4, ,500, , ,1,2,1,01,1, , ,1,1,1,1,1,2,2,2,2,1,1,2,2,2,4,2,2,1,240350000,000-0,1,4,377,0060300,587
2403036506,1,8,10,2,22, ,1,2,2,4,1,1,1,2,1,2,2,0,0,1,1,0,12,3, ,1,4, ,1500, , ,1,2,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,240350000,000-0,1,4,377,0060300,587
2403109401,1,8,10,2,15, ,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,2,6,3, ,1,2, ,800, , , , , , , , , , ,1,1,1,1,2,2,2,1,1,2,2,2,2,3,2,1,1,240350000,000-0,1,2,375,0060310,484
2403109402,1,8,10,2, ,1,1,2,1,3,1,1,1,2,1,2,1,0,0,1,1,3,0,5, ,1,1,800, , ,1, , , , , , , , ,1,2,1,2,1,2,2,1,1,2,2,2,2,4,1,3,1,240350000,000-0,1,2,375,0060310,484
2403109403,1,8,10,2,10, ,1,2,4,6,1,2,1,2,1,2,1,1,0,1,1,10,0,3, ,1,3, ,3000,2000,1,1,2,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,2,2,2,2,6,3,3,1,240350000,000-0,1,2,375,0060310,484
2403109404,1,8,10,3,10, ,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,2,6,3, ,1,3, ,1000,1000,1,1,2,1,01,1, , ,1,1,1,1,1,1,2,2,2,1,2,1,2,2,5,3,2,1,240350000,000-0,1,2,375,0060310,484
2403130601,1,8,10,3,8, ,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,0,6,3, ,1,3, ,1500,1200,1,1,2,1,01,1, , ,1,1,1,1,1,1,2,2,2,1,1,2,2,2,4,2,2,1,240350000,000-0,1,3,376,0060320,396
2403130602,1,8,10,3,15, ,1,2,1,4,1,1,1,1,1,2,1,0,0,1,1,0,6,3, ,1,3, ,1000,1200,1,1,2,1,01,1, , ,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,0,1,1,240350000,000-0,1,3,376,0060320,396
2403130603,1,8,10,2,10, ,1,2,2,3,1,2,1,2,1,2,1,0,0,1,1,0,12,3, ,1,3, ,1500,2800,2,1,2,1,01,1, , ,3,1,1,1,1,2,2,2,2,1,1,2,2,2,4,2,2,1,240350000,000-0,1,3,376,0060320,396
2403130604,1,8,10,3, ,1,1,2,3,5,1,1,1,2,1,2,1,1,0,1,1,0,7,3, ,1,1,2000, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,1,1,2,2,4,3,1,1,240350000,000-0,1,3,376,0060320,396
2403130605,1,8,10,3, ,1,1,2,1,4,1,1,1,2,1,2,1,0,0,1,1,4,2,3, ,1,1,1200, , ,1, , , , , , , , ,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,0,1,240350000,000-0,1,3,376,0060320,396
2403130606,1,8,10,3, ,1,1,2,1,4,1,1,1,2,1,2,1,0,0,1,1,0,8,3, ,1,3, ,2500,3100,1,1,1,2,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,0,1,240350000,000-0,1,3,376,0060320,396
2403146901,1,8,10,2, ,1,1,2,1,3,1,1,1,2,1,2,1,0,0,1,1,0,8,3, ,1,1,1600, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,2,2,2,2,1,0,1,1,240350000,000-0,1,4,377,0060330,515
2403146902,1,8,10,3,7, ,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,0,9,3, ,1,3, ,2000,4300,1,1,2,1,01,1,02,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,4,2,2,1,240350000,000-0,1,4,377,0060330,515
2403146904,1,8,10,3, ,1,1,2,1,4,1,1,1,2,1,2,1,0,0,1,1,2,7,3, ,1,1,1800, , ,1, , , , , , , , ,1,1,1,1,1,2,2,1,1,2,2,2,2,3,1,2,1,240350000,000-0,1,4,377,0060330,515
2403146905,1,8,10,3,5, ,1,2,2,4,1,1,1,2,1,2,1,1,0,1,1,0,8,3, ,1,3, ,4000,4800,2,1,2,1,02,1, , ,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1,240350000,000-0,1,4,377,0060330,515
2403146906,1,8,10,3,5, ,1,2,1,4,1,1,1,2,1,2,1,1,0,1,1,0,8,3, ,1,3, ,4000,4800,1,1,2,2,01,1,02,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,1,1,240350000,000-0,1,4,377,0060330,515
2403243201,1,8,10,3,12, ,1,2,2,3,1,2,1,2,2,2,1,0,0,1,1,1,3,3, ,1,5, ,1200, , , , , , , , , , ,1,1,1,1,2,1,2,2,1,2,2,2,2,3,2,1,1,240160000,000-0,2,2,382,0060340,538
