folioviv,sexo_jefe,edad_jefe,educa_jefe,tot_integ,hombres,mujeres,p12_64,p65mas,ocupados,percep_ing,perc_ocupa,total_gasto,total_ingreso
2760543621,1,42,3,4,2,2,4,0,1,1,1,6838.59,10352.45
2760543622,1,85,1,1,1,0,0,1,0,1,0,592.68,16523.27
2760543623,1,84,4,5,3,2,2,2,0,4,0,12890.61,17277.600000000002
2760543624,1,30,8,5,4,1,2,0,1,1,1,9774.04,12249.4
2760566011,1,39,3,4,2,2,2,0,1,3,1,18193.19,16242.43
2760566012,1,63,3,4,3,1,4,0,3,4,3,39256.77,52920.840000000004
2760566013,1,53,5,4,2,2,4,0,1,3,1,18805.18,18248.59
2760566014,1,61,4,9,6,3,5,0,2,3,2,37510.83,67335.23
2760566015,1,41,7,7,3,4,3,2,1,2,1,55386.1,159086.72999999998
2760566701,1,30,9,4,2,2,2,0,1,1,1,18471.88,45113.87
2760566702,1,52,4,4,2,2,4,0,2,4,2,8692.039999999999,36419.86
2760566703,2,63,3,4,1,3,3,0,1,2,1,10518.32,23565.56
2760566704,1,40,6,6,4,2,4,0,2,5,1,22791.75,25568.46
2760566705,2,73,3,1,0,1,0,1,0,1,0,5063.1,9314.57
2760566716,1,49,6,4,3,1,4,0,2,4,2,15233.9,22705.12
2760566717,1,29,6,5,1,4,2,0,1,2,1,12473.39,16395.75
2760566718,1,52,3,5,2,3,4,0,2,2,1,7811.8,15134.3
2760566719,1,39,10,5,2,3,4,0,2,5,2,10035.77,27804.65
2760566720,1,30,8,4,2,2,2,0,2,4,2,40289.24,62611.35
2760566721,2,30,4,4,1,3,2,0,1,4,1,13280.92,31119.73
2760566806,1,43,6,6,4,2,4,0,1,6,1,11824.57,28504.64
2760566807,2,28,6,6,2,4,3,0,1,2,1,9241.09,30463.5
2760566808,1,36,6,5,2,3,2,0,1,4,1,10289.34,26380.68
2760566809,1,22,4,6,1,5,3,0,2,5,2,14702.41,13130.21
2760566810,1,44,4,5,3,2,4,0,2,4,2,13949.98,37229.47
2760566922,1,68,4,1,1,0,0,1,1,1,1,16137.86,8730.18
2760566923,1,44,10,4,3,1,3,0,2,3,2,80629.68000000001,149736.75
2760566924,1,47,6,4,2,2,4,0,3,1,1,57018.590000000004,21421.8
2760566925,1,58,6,7,3,4,4,0,3,3,2,21927.09,30030.9
2760566926,1,28,8,4,2,2,2,0,2,2,2,24533.87,41107.67
2760584211,2,75,3,4,2,2,3,1,1,4,1,10708.42,20283.45
2760584211,1,37,6,3,2,1,2,0,2,2,2,9553.49,18954.75
2760584213,1,43,3,4,2,2,4,0,1,3,1,11229.24,14955.95
2760584214,1,73,3,6,3,3,4,1,3,5,3,11260.53,19280.52
2760584215,1,33,6,6,4,2,3,0,1,6,1,11179.99,14779.94
2760584221,1,33,6,4,2,2,2,0,1,4,1,10890.76,19057.71
2760584222,1,30,4,4,2,2,2,0,1,4,1,14880.66,21708.8
2760584223,1,71,1,3,2,1,2,1,1,3,1,14500.68,24844.62
2760584224,2,33,6,5,1,4,1,0,1,3,1,10436.69,11380.0
2760584225,1,47,6,7,5,2,4,0,1,7,1,9895.29,30130.63
2760584226,2,37,3,4,3,1,3,0,2,4,2,7214.29,19618.57
2760584306,1,62,3,2,1,1,2,0,2,2,2,12873.65,11091.74
2760584307,1,43,6,5,3,2,4,0,2,5,2,19099.82,29007.89
2760584308,2,34,6,4,1,3,4,0,2,4,2,9050.86,53072.84
2760584309,1,65,6,4,3,1,2,1,3,4,3,20199.920000000002,33632.71
2760584310,1,56,5,2,2,0,2,0,2,2,2,12536.61,28205.54
2760584416,1,40,3,4,3,1,3,0,2,3,2,3515.58,8167.6
2760584417,1,44,6,5,3,2,4,0,1,5,1,11142.27,18802.89
2760584418,1,24,6,2,1,1,2,0,1,1,1,10778.47,9240.92
2760584419,1,44,7,5,2,3,3,1,2,5,2,16691.85,14343.55
2760584501,2,55,4,3,0,3,2,0,2,2,2,23419.55,36343.94
2760584502,1,32,8,6,3,3,2,0,1,5,1,17917.38,18230.02
2760584503,1,56,6,6,4,2,4,0,2,2,2,22492.1,48060.07
2760584504,2,57,3,3,1,2,3,0,1,1,1,9708.39,9261.2
2760604602,1,23,7,3,2,1,2,0,1,2,1,11070.099999999999,34606.06
2760604603,1,40,8,4,2,2,4,0,1,4,1,18563.22,41275.94
2760604604,1,45,1,4,3,1,4,0,3,4,3,14160.75,68039.33
2760604605,1,66,3,4,2,2,2,1,1,3,1,7897.389999999999,27885.91
2760604606,1,52,3,3,1,2,2,1,2,3,2,14239.83,40898.9
2760604707,1,46,8,4,1,3,4,0,2,2,2,29890.6,25482.42
2760604708,1,45,7,5,3,2,5,0,2,5,2,22411.3,21269.75
2760604709,1,47,3,4,3,1,4,0,1,4,1,18801.65,26181.989999999998
2760604710,2,28,3,4,1,3,1,0,1,3,1,34372.63,17363.52
2760604711,1,32,6,3,1,2,2,0,1,3,1,15425.16,23989.97
2760604712,2,67,3,6,2,4,3,2,1,5,1,41089.11,38480.020000000004
2760604813,2,29,6,3,0,3,1,0,0,1,0,24665.7,16288.23
2760604814,1,41,8,5,2,3,4,1,1,3,1,33819.08,61164.41
2760604815,1,30,8,5,1,4,2,0,1,1,1,31722.48,19232.460000000003
2760604816,1,39,6,4,1,3,2,0,1,4,1,13710.32,13007.470000000001
2760604817,1,77,3,2,2,0,1,1,1,2,1,9956.69,13201.189999999999
2760604818,1,25,8,3,2,1,2,0,2,2,2,16840.35,21159.44
2760604919,2,61,6,1,0,1,1,0,1,1,1,2619.14,12237.220000000001
2760604920,1,28,10,4,3,1,2,0,1,3,1,19906.77,26547.460000000003
2760604921,1,52,4,3,2,1,3,0,2,2,2,11297.97,33310.84
2760604922,1,55,6,2,1,1,2,0,1,2,1,6650.44,35478.32
2760604923,1,63,3,4,3,1,4,0,3,4,3,8000.25,15609.37
2760604924,1,57,3,1,1,0,1,0,1,1,1,2139.2,11233.51
2760648001,1,60,3,4,1,3,3,1,2,4,2,19110.05,24382.25
2760648002,1,36,10,4,1,3,2,0,1,2,1,23147.199999999997,33334.51
2760648003,1,75,3,1,1,0,0,1,0,1,0,3955.62,15872.41
2760648004,2,53,6,2,0,2,2,0,2,2,2,12963.67,27150.98
2760648005,2,59,3,3,1,2,3,0,2,3,2,25740.6,21217.519999999997
2760648206,2,32,8,1,0,1,1,0,1,1,1,12347.67,15577.56
2760648207,1,43,4,1,1,0,1,0,1,1,1,6673.36,13733.79
2760648208,1,39,6,5,4,1,3,0,1,4,1,14543.58,23574.89
2760648209,1,45,6,4,2,2,4,0,2,4,2,20787.85,35803.71
2760648214,2,45,6,3,0,3,2,0,2,3,2,9905.76,18618.850000000002
2760648215,2,49,6,5,2,3,3,0,3,4,3,24176.57,41967.82
2760648216,1,27,10,2,1,1,2,0,2,2,2,34735.95,49947.49
2760648217,2,49,6,2,1,1,2,0,2,2,2,21148.61,26756.170000000002
2760648318,2,39,4,2,0,2,2,0,0,2,0,10840.26,15012.27
2760648321,1,59,4,3,1,2,3,0,1,3,1,8963.27,10564.82
2760648410,2,33,8,3,1,2,2,0,1,3,1,13048.87,13946.32
2760648411,1,46,6,6,2,4,5,0,2,4,2,14282.62,23753.96
2760648412,2,43,6,2,0,2,1,1,1,2,1,8200.06,15240.83
2760648413,1,42,6,4,3,1,2,0,1,1,1,10561.43,22154.96
2760652501,2,77,1,4,2,2,3,1,2,4,2,25118.83,34223.49
2760652502,1,76,4,4,1,3,3,1,4,4,4,17856.88,44251.03
2760652503,1,83,4,2,1,1,0,2,2,2,2,7344.85,13141.66
2760652504,1,53,2,4,3,1,4,0,4,4,4,30038.18,31452.57
2760652506,2,31,6,3,1,2,1,0,0,1,0,6543.81,21332.25
2760652607,1,56,3,2,2,0,2,0,1,2,1,4419.64,17864.35
2760652608,2,54,3,1,0,1,1,0,1,1,1,8004.21,18036.09
2760652609,1,74,1,2,1,1,0,2,1,2,1,7910.86,7701.8
2760652610,1,32,4,4,1,3,2,0,2,3,2,18579.49,22919.399999999998
2760652612,2,64,1,6,3,3,4,0,0,6,1,13117.87,24818.43
2760652713,2,31,10,5,1,4,3,0,2,4,2,531116.12,1249159.8900000001
2760652714,1,53,3,3,2,1,3,0,3,3,3,32052.28,89436.86
2760652715,1,40,6,5,2,3,2,0,2,2,2,27024.79,49228.76
2760652717,2,80,1,2,1,1,1,1,0,2,0,2961.36,14504.259999999998
2760652718,1,28,6,7,3,4,3,0,1,5,1,4637.05,14924.849999999999
2760652819,2,45,4,5,3,2,4,0,3,2,2,16058.75,34399.66
2760652820,1,49,8,5,2,3,5,0,1,3,1,15948.05,53114.73
2760652821,1,47,3,3,3,0,3,0,1,3,1,14067.64,25077.02
2760652822,1,58,3,2,2,0,2,0,2,2,2,13463.92,21909.82
2760652823,1,28,6,3,2,1,2,0,1,2,1,13674.17,26680.32
2760652824,2,25,7,3,0,3,1,0,0,1,0,4634.77,18699.72
2760801001,1,52,4,4,2,2,4,0,2,2,2,11376.05,5377.67
2760801002,2,66,3,1,0,1,0,1,0,1,0,1458.39,5025.34
2760801003,1,58,1,3,1,2,3,0,2,3,2,7722.129999999999,10026.76
2760801004,1,40,4,4,2,2,2,0,2,4,2,14559.51,14299.66
2760801005,2,104,1,3,1,2,2,1,1,3,1,11144.44,15016.43
2760801211,2,36,4,3,0,3,3,0,0,3,0,10339.58,15879.3
2760801212,1,47,8,2,1,1,2,0,2,2,2,18124.26,24485.629999999997
2760801213,2,35,5,7,6,1,6,0,3,7,3,15768.6,35258.25
2760801214,1,56,3,3,2,1,2,1,2,3,2,8543.34,10500.02
2760801215,1,29,6,4,2,2,2,0,2,3,2,10014.62,6346.13
2760801216,1,41,6,4,1,3,3,0,2,4,2,24727.980000000003,17087.93
2760801217,1,56,3,3,2,1,3,0,2,3,2,17783.98,18267.04
2760801218,1,78,3,2,2,0,1,1,1,2,1,8826.29,10320.15
2760801219,1,47,4,4,2,2,4,0,1,4,1,14704.3,10601.57
2760801220,1,69,3,3,1,2,2,1,1,2,1,8808.86,9621.17
2760801306,1,36,3,1,1,0,1,0,1,1,1,6827.02,8497.14
2760801307,1,54,3,1,1,0,1,0,1,1,1,4354.51,10958.12
2760801308,1,53,6,7,4,3,5,0,2,7,2,16751.38,17627.48
2760801309,1,38,3,6,2,4,4,0,1,5,1,18588.53,12436.34
2760801310,1,52,6,3,3,0,3,0,3,1,1,5495.02,7855.5
2760801921,1,68,3,2,1,1,1,1,2,2,2,10484.66,14735.8
2760801922,1,34,6,3,2,1,3,0,2,3,2,10558.22,21949.059999999998
2760801923,1,59,3,3,2,1,3,0,2,3,3,8125.78,20293.57
2760801924,1,63,1,4,1,3,4,0,4,3,3,6926.24,12983.32
2760801925,1,57,1,5,2,3,5,0,5,3,3,8813.32,16972.81
2760813401,1,34,8,6,3,3,2,1,2,5,2,9771.24,28501.43
2760813402,2,37,3,8,3,5,3,0,2,3,2,3923.53,23129.8
2760813403,1,40,4,3,2,1,2,0,1,3,1,2022.79,26650.350000000002
2760813404,1,67,1,2,1,1,1,1,2,1,1,1951.4,7885.36
2760813405,1,48,1,2,1,1,2,0,1,2,1,15500.66,8737.1
2760813406,2,73,1,4,2,2,3,1,2,4,2,5626.91,29725.61
2760813507,1,57,4,5,2,3,4,0,2,5,2,11279.46,21623.609999999997
2760813508,2,30,6,1,0,1,1,0,1,1,1,15100.390000000001,17461.38
2760813509,1,37,6,4,3,1,3,0,1,4,1,18992.17,13810.79
2760813511,1,31,8,4,1,3,3,0,1,4,1,20661.24,21911.04
2760813512,1,39,4,9,6,3,7,0,4,7,4,27745.5,53878.17
2760813613,1,40,3,5,2,3,4,0,1,5,1,9630.6,26769.7
2760813614,1,23,4,3,2,1,2,0,2,3,2,4434.37,20543.19
2760813615,1,34,6,2,1,1,2,0,2,2,2,21721.550000000003,49252.92
2760813616,1,34,4,4,1,3,3,0,2,1,1,15843.32,28788.05
2760813617,1,54,3,1,1,0,1,0,1,1,1,8891.14,13360.99
2760813618,2,34,6,2,0,2,2,0,2,2,2,11055.58,22011.98
2760813719,2,60,3,5,1,4,3,0,3,5,3,11020.53,42304.27
2760813720,2,61,4,2,0,2,2,0,1,1,1,4909.19,6969.96
2760813721,1,71,8,8,5,3,5,1,3,5,3,16301.970000000001,51162.21
2760813722,1,47,4,5,3,2,4,0,3,5,3,18304.97,37354.03
