folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,procampo,mesproc,progan,mesprogan,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
401148314,1,1,2,5,1,1,2,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,3816,160,2,0,0,0,0,0,0,0,0,0,,0,,2,3,0,1890,0,9490,0,462.22,0,2320.92,0,1858.69
401148811,1,1,1,4,1,,2,,,,,,,,,7,2,2,0,1,1,0,1,1,0,0,0,0,0,5000,2,0,0,0,0,0,0,0,0,3000,5,0,,2,4,0,800,0,16740,0,196.72,0,4116.39,0,3919.67
401148811,1,1,1,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,8100,800,2,0,0,0,0,0,0,0,0,0,,0,,2,4,40568,6452,0,19700,9975.73,1586.55,0,4844.26,6718.03,0
401165514,1,1,1,5,1,2,2,,,,,,,,,6,1,1,0,0,0,0,0,0,0,1,1,0,0,511000,2,0,0,0,0,0,0,0,0,4800,2,5500,11,2,4,174000,3000,0,6000,42554.34,733.69,0,1467.39,41820.65,0
401165514,1,1,2,4,1,,2,,,,,,,,,6,1,1,0,0,0,0,1,1,0,0,0,0,0,2800,2,0,0,0,0,0,0,0,0,0,,0,,2,4,33600,0,0,0,8217.39,0,0,0,8217.39,0
401165902,1,4,2,5,1,2,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,760,1,0,0,0,0,0,7500,0,0,0,,0,,2,4,0,0,0,0,0,0,0,0,0,0
401247320,1,2,2,5,1,1,2,,,,,,,,,7,1,0,1,0,0,0,1,0,1,0,0,0,0,240,2,0,0,0,0,0,0,0,0,0,,0,,2,4,3800,2488,0,4392,929.34,608.47,0,1074.13,463.69,0
401247321,1,1,2,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2,0,0,0,0,0,0,0,0,0,,0,,2,4,600,8900,0,7312,146.73,2176.63,0,1788.26,535.1,0
401247323,1,1,1,5,1,2,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,592,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,240,0,264,0,58.69,0,64.56,0,5.86
401247324,1,1,2,4,1,,2,,,,,,,,,6,2,2,0,2,2,0,0,0,0,0,0,0,375,2500,2,0,0,0,0,0,0,0,0,1500,7,0,,2,4,0,500,0,2800,0,122.28,0,684.78,0,562.49
401247324,1,1,2,5,1,2,2,,,,,,,,,6,2,2,0,2,2,0,0,0,0,0,0,0,22000,0,2,0,0,0,0,0,0,0,0,0,,3000,4,2,4,48000,5500,16000,92500,11739.13,1345.1,3913.04,22622.28,0,5624.99
401247401,1,1,2,4,1,,2,,,,,,,,,6,1,1,0,1,1,0,0,0,0,0,0,0,0,4500,2,0,0,0,0,0,0,0,0,0,,0,,2,4,15000,0,0,11563,3668.47,0,0,2827.9,840.57,0
401247402,1,1,1,4,1,,2,,,,,,,,,6,1,1,0,1,1,0,0,0,0,0,0,0,0,4450,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,7400,0,4784,0,1809.78,0,1169.99,639.78,0
401247402,1,1,1,5,1,2,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,25000,6000,2,0,0,0,0,0,0,0,0,0,,1500,7,2,4,12000,0,0,3960,2934.78,0,0,968.47,1966.3,0
401247403,1,1,2,5,1,2,2,,,,,,,,,6,1,1,0,0,0,0,1,1,0,0,0,0,0,40000,2,0,0,0,0,0,0,0,0,0,,1050,5,2,4,0,0,0,600,0,0,0,146.73,0,146.73
401247403,1,2,2,5,1,2,2,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,2,0,0,0,0,0,0,0,0,0,,0,,2,3,50000,0,0,29800,12228.26,0,0,7288.04,4940.21,0
401247405,1,2,2,5,1,2,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,2990,0,2,0,0,0,0,0,0,0,0,0,,0,,2,4,0,800,0,1000,0,195.65,0,244.56,0,48.91
401247405,1,4,2,5,1,2,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,2,0,0,0,0,0,0,0,0,0,,0,,2,4,9000,0,0,3973,2201.08,0,0,971.65,1229.42,0
401247406,1,1,1,4,1,,2,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,1,0,0,0,0,0,250,0,0,1200,7,0,,2,4,90,6670,0,785,22.01,1631.24,0,191.98,1461.27,0
401247707,1,2,2,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,600,600,2,0,0,0,0,0,0,0,0,0,,0,,2,4,2160,752,0,2800,531.14,184.91,0,688.52,27.54,0
401247708,1,1,1,4,1,,2,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1,0,0,0,0,0,890,0,0,0,,0,,2,4,0,1645,0,890,0,404.5,0,218.85,185.65,0
401247708,1,2,1,5,1,1,2,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,4020,960,2,0,0,0,0,0,0,0,0,0,,0,,2,4,1200,7778,0,2660,295.08,1912.62,0,654.09,1553.6,0
