folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
601023002,1,TB08,1200,500,1173.91
601023005,1,TB08,3650,2390,3570.65
601023006,1,TB08,3000,0,2934.78
601030202,1,TB01,563,0,1634.51
601030202,1,TB13,2250,2250,1118.78
601030202,1,TB12,7900,0,3928.17
601030202,1,TB08,6376,1459,6237.39
601030202,1,TB10,750,0,733.69
601030202,1,TB11,9800,0,4872.92
601030202,1,TB02,174,0,505.16
601030202,1,TB05,999,0,2900.32
601030202,1,TB14,8700,8700,4325.96
601030204,1,TB09,1200,0,1173.91
601030206,1,TB03,450,0,1306.45
601034602,1,TB10,1052,1052,1029.13
601034602,1,TB08,1570,1570,1535.86
601034602,1,TB07,1220,0,3660
601034602,1,TB05,3850,0,11550
601034602,1,TB04,4600,0,13800
601034602,1,TB03,739,0,2217
601040703,1,TB08,600,0,586.95
601040706,1,TB04,220,0,660
601040706,1,TB08,3140,3140,3071.73
601040706,1,TB11,3000,3000,1475.4
601040706,1,TB12,13000,3000,6393.44
601040706,1,TB13,12000,0,5901.63
601049902,1,TB11,1500,0,733.69
601049903,1,TB08,900,0,880.43
601049903,1,TB12,6000,0,2934.78
601049903,1,TR08,2000,0,1956.52
601050401,1,TB10,355,355,347.28
601050401,1,TB09,980,0,958.69
601050401,1,TB08,420,0,410.86
601050401,1,TB07,200,0,580.64
601050401,1,TB05,800,0,2322.58
601050401,1,TB13,1391,0,680.38
601050401,1,TB11,2046,0,1000.76
601050402,1,TB07,580,0,1683.87
601050405,1,TB02,563,0,1634.51
601050405,1,TB03,1008,0,2926.45
601050405,1,TB04,527,0,1529.99
601050405,1,TB05,849,0,2464.83
601050405,1,TB08,649,649,634.89
601050405,1,TB09,2838,2838,2776.3
601050405,1,TB01,1000,0,2903.22
601050405,1,TB11,550,0,269.02
601050405,1,TB10,1200,1200,1173.91
601066003,1,TR08,2300,2300,2249.99
601066003,1,TB13,6100,1500,2983.69
601066003,1,TB07,1315,0,3817.74
601066003,1,TB03,700,0,2032.25
601066003,1,TB10,3965,0,3878.8
601072203,1,TB12,7500,0,3729.28
601077605,1,TB01,2050,0,6150
601077605,1,TB02,440,0,1320
601077605,1,TB03,563,0,1689
601087702,1,TB08,497,497,486.19
601087703,1,TB08,650,100,635.86
601087704,1,TB08,700,700,684.78
601091506,1,TR10,1358,1358,1328.47
601091506,1,TB01,1000,0,2903.22
601091506,1,TB03,51,0,148.06
601091506,1,TB10,800,400,782.6
601091506,1,TR01,960,0,2787.09
601091506,1,TR03,51,0,148.06
601091506,1,TB08,2980,0,2915.21
601092802,1,TB12,11000,916,5409.83
601101404,1,TR12,350,0,171.19
601101404,1,TB13,23400,23400,11445.65
601101404,1,TB12,350,0,171.19
601103305,1,TB12,7618,126,3726.19
601103305,1,TB11,900,40,440.21
601103305,1,TB08,5700,814,5576.08
601105002,1,TB05,3400,0,9870.96
601113205,1,TB09,1500,0,1467.39
601143702,1,TB12,6280,2280,3088.52
601143702,1,TB07,600,0,1800
601143702,1,TB05,4500,0,13500
601143702,1,TB04,2460,0,7380
601143702,1,TB03,2440,0,7320
601143702,1,TB10,11020,0,10780.43
