folioviv,foliohog,numren,id_trabajo,trapais,subor,indep,personal,pago,contrato,tipocontr,pres_1,pres_2,pres_3,pres_4,pres_5,pres_6,pres_7,pres_8,pres_9,pres_10,pres_11,pres_12,pres_13,pres_14,pres_15,pres_16,pres_17,pres_18,pres_19,pres_20,pres_21,pres_22,pres_23,pres_24,pres_25,pres_26,htrab,sinco,scian,clas_emp,tam_emp,no_ing,tiene_suel,tipoact,socios,soc_nr1,soc_nr2,soc_resp,otra_act,tipoact2,tipoact3,tipoact4,lugar,conf_pers
100995403,1,2,1,1,1,,,1,1,2,,2,,,,,7,8,9,,11,12,13,14,15,16,17,,,20,,,,24,,,35,2811,6222,3,11,,,,,,,,,,,,,
100995404,1,1,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,30,9641,8121,1,2,,,,,,,,,,,,,
100995405,1,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,,,14,,,17,,,20,,,,,,,48,3101,4681,2,7,,,,,,,,,,,,,
100995405,1,2,1,1,1,,,1,1,1,1,,,,,,7,8,,10,11,,,14,,,,,,,,,,,,,24,4211,4651,2,7,,,,,,,,,,,,,
100995405,1,3,1,1,1,,,1,1,1,1,,,,,,7,8,9,10,11,,,,,,17,,,,,,,,,,24,4211,4651,2,7,,,,,,,,,,,,,
100995405,1,4,1,1,1,,,1,1,2,1,,,,,,7,8,9,,11,12,13,14,,16,17,18,19,20,,,,24,,,35,2423,6222,3,11,,,,,,,,,,,,,
100995405,1,4,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2423,6211,,1,,2,3,2,,,,2,,,,,
100995406,1,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,,11,,,14,,16,17,,,20,21,,,,,,44,2512,2382,2,3,,,,,,,,,,,,,
100998701,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4224,4690,,1,,2,2,2,,,,2,,,,,
100998701,1,2,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,68,2633,8112,1,3,,,,,,,,,,,,,
100998702,1,1,1,1,1,,,1,1,2,,,3,,,,7,8,9,,11,12,13,14,15,16,17,18,,20,21,22,23,24,,,18,2331,6112,3,8,,,,,,,,,,,,,
